"episode","tottime","startsec","stopsec","startmin","stopmin","character","charas","cloneswap"
3,65,1341,1406,22.35,23.4333,"Alison","Alison",0
3,29,1431,1460,23.85,24.3333,"Sarah","Beth",1
3,223,1431,1654,23.85,27.5667,"Alison","Alison",0
3,165,1460,1625,24.3333,27.0833,"Sarah","Sarah",0
3,23,1654,1677,27.5667,27.95,"Sarah","Sarah",0
3,109,1677,1786,27.95,29.7667,"Sarah","Beth",1
3,36,1786,1822,29.7667,30.3667,"Sarah","Sarah",0
3,530,1823,2353,30.3833,39.2167,"Sarah","Beth",1
3,82,2131,2213,35.5167,36.8833,"Helena","Helena",0
3,120,2353,2473,39.2167,41.2167,"Sarah","Sarah",0
3,41,2473,2514,41.2167,41.9,"Helena","Helena",0
4,100,0,100,0,1.666666667,"Helena","Helena",0
4,200,100,300,1.666666667,5,"Sarah","Sarah",0
4,81,109,190,1.816666667,3.166666667,"Alison","Alison",0
4,105,195,300,3.25,5,"Cosima","Cosima",0
4,39,300,339,5,5.65,"Alison","Alison",0
4,195,339,534,5.65,8.9,"Sarah","Beth",1
4,35,534,569,8.9,9.483333333,"Sarah","Sarah",0
4,197,587,784,9.783333333,13.06666667,"Sarah","Beth",1
4,62,781,843,13.01666667,14.05,"Helena","Beth",1
4,101,843,944,14.05,15.73333333,"Sarah","Beth",1
4,79,944,1023,15.73333333,17.05,"Helena","Beth",1
4,20,1023,1043,17.05,17.38333333,"Sarah","Beth",1
4,40,1043,1083,17.38333333,18.05,"Sarah","Sarah",0
4,43,1083,1126,18.05,18.76666667,"Alison","Alison",0
4,86,1126,1212,18.76666667,20.2,"Sarah","Beth",1
4,78,1212,1290,20.2,21.5,"Alison","Alison",0
4,46,1290,1336,21.5,22.26666667,"Sarah","Beth",1
4,38,1336,1374,22.26666667,22.9,"Alison","Alison",0
4,125,1374,1499,22.9,24.98333333,"Sarah","Beth",1
4,84,1499,1583,24.98333333,26.38333333,"Sarah","Sarah",0
4,84,1499,1583,24.98333333,26.38333333,"Cosima","Cosima",0
4,135,1583,1718,26.38333333,28.63333333,"Sarah","Beth",1
4,32,1654,1686,27.56666667,28.1,"Helena","Helena",0
4,36,1718,1754,28.63333333,29.23333333,"Alison","Alison",0
4,27,1754,1781,29.23333333,29.68333333,"Alison","Sarah",1
4,12,1781,1793,29.68333333,29.88333333,"Sarah","Sarah",0
4,14,1893,1907,31.55,31.78333333,"Sarah","Sarah",0
4,101,1907,2008,31.78333333,33.46666667,"Alison","Sarah",1
4,58,2008,2066,33.46666667,34.43333333,"Sarah","Sarah",0
4,9,2027,2036,33.78333333,33.93333333,"Alison","Sarah",1
4,201,2078,2279,34.63333333,37.98333333,"Sarah","Sarah",0
4,195,2078,2273,34.63333333,37.88333333,"Helena","Helena",0
4,19,2279,2298,37.98333333,38.3,"Sarah","Beth",1
4,93,2298,2391,38.3,39.85,"Alison","Sarah",1
4,18,2391,2409,39.85,40.15,"Alison","Alison",0
4,69,2410,2479,40.16666667,41.31666667,"Sarah","Beth",1
4,36,2479,2515,41.31666667,41.91666667,"Helena","Helena",0
5,42,0,42,0,0.7,"Helena","Helena",0
5,34,42,76,0.7,1.266666667,"Sarah","Sarah",0
5,46,48,94,0.8,1.566666667,"Alison","Alison",0
5,196,94,290,1.566666667,4.833333333,"Sarah","Beth",1
5,76,290,366,4.833333333,6.1,"Sarah","Beth",1
5,146,366,512,6.1,8.533333333,"Sarah","Sarah",0
5,140,366,506,6.1,8.433333333,"Cosima","Cosima",0
5,106,378,484,6.3,8.066666667,"Alison","Alison",0
5,26,512,538,8.533333333,8.966666667,"Sarah","Beth",1
5,11,538,549,8.966666667,9.15,"Sarah","Sarah",0
5,45,561,606,9.35,10.1,"Alison","Alison",0
5,135,606,741,10.1,12.35,"Sarah","Sarah",0
5,54,741,795,12.35,13.25,"Sarah","Beth",1
5,55,795,850,13.25,14.16666667,"Alison","Alison",0
5,24,850,874,14.16666667,14.56666667,"Sarah","Sarah",0
5,27,874,901,14.56666667,15.01666667,"Alison","Alison",0
5,88,893,981,14.88333333,16.35,"Sarah","Beth",1
5,46,1020,1066,17,17.76666667,"Alison","Alison",0
5,121,1070,1191,17.83333333,19.85,"Cosima","Cosima",0
5,41,1191,1232,19.85,20.53333333,"Sarah","Sarah",0
5,106,1246,1352,20.76666667,22.53333333,"Sarah","Sarah",0
5,65,1352,1417,22.53333333,23.61666667,"Cosima","Cosima",0
5,89,1417,1506,23.61666667,25.1,"Sarah","Sarah",0
5,53,1572,1625,26.2,27.08333333,"Alison","Alison",0
5,74,1645,1719,27.41666667,28.65,"Alison","Alison",0
5,80,1719,1799,28.65,29.98333333,"Sarah","Sarah",0
5,117,1799,1916,29.98333333,31.93333333,"Sarah","Sarah",0
5,11,1916,1927,31.93333333,32.11666667,"Sarah","Beth",1
5,198,1927,2125,32.11666667,35.41666667,"Sarah","Sarah",0
5,26,2125,2151,35.41666667,35.85,"Alison","Alison",0
5,69,2171,2240,36.18333333,37.33333333,"Sarah","Sarah",0
5,59,2181,2240,36.35,37.33333333,"Cosima","Cosima",0
5,29,2240,2269,37.33333333,37.81666667,"Alison","Alison",0
5,138,2269,2407,37.81666667,40.11666667,"Sarah","Beth",1
5,124,2407,2531,40.11666667,42.18333333,"Sarah","Sarah",0
6,154,0,154,0,2.566666667,"Alison","Alison",0
6,89,154,243,2.566666667,4.05,"Sarah","Sarah",0
6,62,261,323,4.35,5.383333333,"Sarah","Sarah",0
6,47,266,313,4.433333333,5.216666667,"Cosima","Cosima",0
6,41,316,357,5.266666667,5.95,"Alison","Alison",0
6,90,385,475,6.416666667,7.916666667,"Alison","Alison",0
6,61,475,536,7.916666667,8.933333333,"Cosima","Cosima",0
6,188,565,753,9.416666667,12.55,"Alison","Alison",0
6,37,598,635,9.966666667,10.58333333,"Sarah","Sarah",0
6,86,702,788,11.7,13.13333333,"Sarah","Sarah",0
6,39,788,827,13.13333333,13.78333333,"Alison","Alison",0
6,50,832,882,13.86666667,14.7,"Sarah","Alison",1
6,50,935,985,15.58333333,16.41666667,"Sarah","Alison",1
6,119,985,1104,16.41666667,18.4,"Cosima","Cosima",0
6,18,1154,1172,19.23333333,19.53333333,"Sarah","Sarah",0
6,50,1172,1222,19.53333333,20.36666667,"Alison","Alison",0
6,92,1237,1329,20.61666667,22.15,"Sarah","Sarah",0
6,92,1237,1329,20.61666667,22.15,"Alison","Alison",0
6,117,1341,1458,22.35,24.3,"Cosima","Cosima",0
6,68,1458,1526,24.3,25.43333333,"Sarah","Alison",1
6,70,1526,1596,25.43333333,26.6,"Cosima","Cosima",0
6,54,1596,1650,26.6,27.5,"Sarah","Alison",1
6,6,1600,1606,26.66666667,26.76666667,"Alison","Alison",0
6,34,1670,1704,27.83333333,28.4,"Sarah","Sarah",0
6,31,1670,1701,27.83333333,28.35,"Alison","Alison",0
6,30,1738,1768,28.96666667,29.46666667,"Alison","Alison",0
6,113,1815,1928,30.25,32.13333333,"Sarah","Sarah",0
6,47,1928,1975,32.13333333,32.91666667,"Sarah","Alison",1
6,51,1999,2050,33.31666667,34.16666667,"Sarah","Alison",1
6,61,2108,2169,35.13333333,36.15,"Sarah","Sarah",0
6,4,2169,2173,36.15,36.21666667,"Sarah","Alison",1
6,9,2173,2182,36.21666667,36.36666667,"Sarah","Sarah",0
6,40,2182,2222,36.36666667,37.03333333,"Alison","Alison",0
6,18,2222,2240,37.03333333,37.33333333,"Sarah","Sarah",0
6,59,2240,2299,37.33333333,38.31666667,"Sarah","Alison",1
6,105,2299,2404,38.31666667,40.06666667,"Alison","Alison",0
6,69,2404,2473,40.06666667,41.21666667,"Sarah","Sarah",0
7,32,0,32,0,0.533333333,"Sarah","Sarah",0
7,32,0,32,0,0.533333333,"Cosima","Cosima",0
7,47,70,117,1.166666667,1.95,"Sarah","Sarah",0
7,47,70,117,1.166666667,1.95,"Cosima","Cosima",0
7,36,117,153,1.95,2.55,"Helena","Helena",0
7,34,153,187,2.55,3.116666667,"Sarah","Sarah",0
7,30,269,299,4.483333333,4.983333333,"Sarah","Sarah",0
7,62,453,515,7.55,8.583333333,"Helena","Helena",0
7,18,554,572,9.233333333,9.533333333,"Sarah","Sarah",0
7,101,572,673,9.533333333,11.21666667,"Helena","Helena",0
7,284,673,957,11.21666667,15.95,"Sarah","Sarah",0
