"episode","character","startmin","stopmin"
8,"Alison",32.58333333,34.61666667
8,"Sarah",37.6,40.35
8,"Helena",39.08333333,39.58333333
8,"Helena",40.21666667,41.91666667
8,"Sarah",40.53333333,41.91666667
9,"Sarah",0,0.416666667
9,"Sarah",0.616666667,1.783333333
9,"Alison",0.9,1.783333333
9,"Sarah",2.15,2.883333333
9,"Sarah",2.883333333,3.55
9,"Helena",3.55,4.016666667
9,"Sarah",4.016666667,4.483333333
9,"Helena",5.783333333,6.866666667
9,"Sarah",6.566666667,6.9
9,"Alison",7.916666667,9.866666667
9,"Cosima",9.866666667,10.93333333
9,"Sarah",9.866666667,11.45
9,"Helena",11.45,12.26666667
9,"Sarah",12.26666667,12.81666667
9,"Cosima",12.81666667,13.9
9,"Sarah",13.9,14.71666667
9,"Sarah",14.71666667,14.95
9,"Alison",14.95,17.26666667
9,"Sarah",17.26666667,18.53333333
9,"Helena",18.53333333,19
9,"Sarah",19,23.2
9,"Cosima",19,20.43333333
9,"Cosima",23.2,24.66666667
9,"Alison",24.66666667,26.46666667
9,"Helena",26.88333333,27.23333333
9,"Sarah",27.23333333,28.01666667
9,"Cosima",28.01666667,29.18333333
9,"Helena",30.03333333,30.56666667
9,"Sarah",30.21666667,32
9,"Alison",32,33.7
9,"Sarah",33.7,38.41666667
9,"Helena",34.16666667,37.98333333
9,"Rachel",39.18333333,39.36666667
9,"Sarah",39.76666667,41.95
10,"Sarah",0,1.95
10,"Helena",1.166666667,1.95
10,"Sarah",2.533333333,4.2
10,"Helena",2.533333333,3.833333333
10,"Sarah",4.2,5.25
10,"Alison",5.25,7.683333333
10,"Cosima",8.3,8.983333333
10,"Sarah",8.983333333,10.73333333
10,"Cosima",10.73333333,11.58333333
10,"Sarah",11.58333333,17.4
10,"Rachel",12.56666667,14.96666667
10,"Alison",14.96666667,17.4
10,"Cosima",15.36666667,17.4
10,"Alison",18.61666667,21.91666667
10,"Alison",22.76666667,23.65
10,"Sarah",23.65,25.3
10,"Cosima",25.3,27.61666667
10,"Helena",27.61666667,29.08333333
10,"Sarah",29.08333333,29.66666667
10,"Alison",29.66666667,30.48333333
10,"Cosima",30.48333333,31.41666667
10,"Sarah",31.41666667,32.23333333
10,"Cosima",32.23333333,32.8
10,"Sarah",32.8,36.16666667
10,"Helena",33.58333333,35.91666667
10,"Cosima",36.16666667,36.5
10,"Rachel",36.5,36.85
10,"Sarah",36.6,37.01666667
10,"Alison",37.01666667,37.43333333
10,"Rachel",37.43333333,37.66666667
10,"Alison",37.66666667,38.41666667
10,"Sarah",38.41666667,39.21666667
10,"Cosima",39.21666667,39.93333333
10,"Sarah",39.4,40.01666667
10,"Rachel",40.65,41.25
10,"Cosima",41.25,41.73333333
10,"Sarah",41.73333333,42.41666667
11,"Sarah",0,5.35
11,"Rachel",2.116666667,2.566666667
11,"Sarah",5.35,6.983333333
11,"Sarah",7.133333333,7.416666667
11,"Cosima",7.416666667,8.616666667
11,"Alison",8.616666667,11.11666667
11,"Rachel",11.11666667,11.46666667
11,"Sarah",11.96666667,12.53333333
11,"Sarah",13.06666667,14.2
11,"Cosima",13.61666667,14.2
11,"Alison",14.2,15.66666667
11,"Cosima",15.66666667,16
11,"Alison",17.43333333,19.75
11,"Sarah",20.31666667,21.53333333
11,"Alison",20.66666667,20.9
11,"Rachel",21.63333333,23.36666667
11,"Sarah",23.36666667,23.7
11,"Sarah",24.36666667,28.3
11,"Cosima",25.7,28.3
11,"Alison",26.61666667,27.68333333
11,"Rachel",28.3,28.88333333
11,"Sarah",28.45,28.91666667
11,"Alison",28.88333333,29.95
11,"Sarah",30.15,32.28333333
11,"Sarah",32.28333333,33.06666667
11,"Sarah",33.3,33.61666667
11,"Rachel",33.61666667,36.56666667
11,"Sarah",34.9,35.15
11,"Sarah",35.15,39.25
11,"Helena",39.25,40.16666667
12,"Helena",0,0.583333333
12,"Sarah",0.583333333,1.733333333
12,"Sarah",1.733333333,2.416666667
12,"Alison",2.416666667,4.9
12,"Cosima",6.166666667,6.983333333
12,"Sarah",6.983333333,11.1
12,"Cosima",11.1,12.6
12,"Alison",12.6,16.18333333
12,"Sarah",16.18333333,17.91666667
12,"Helena",19.41666667,19.61666667
12,"Helena",20.66666667,22.81666667
12,"Sarah",22.81666667,23.36666667
12,"Alison",23.36666667,26.46666667
12,"Sarah",26.46666667,29.11666667
12,"Cosima",29.11666667,32.28333333
12,"Rachel",30,32.28333333
12,"Sarah",32.28333333,35.66666667
12,"Sarah",36.05,36.76666667
12,"Alison",38.56666667,39.71666667
12,"Sarah",39.03333333,39.98333333
13,"Sarah",0,1.516666667
13,"Sarah",3.55,3.916666667
13,"Sarah",4.683333333,5.183333333
13,"Sarah",6,6.833333333
13,"Alison",6.833333333,7.833333333
13,"Sarah",7.833333333,8.333333333
13,"Cosima",8.333333333,9.75
13,"Sarah",9.75,10.43333333
13,"Helena",10.76666667,12.23333333
13,"Sarah",12.23333333,14.63333333
13,"Alison",14.63333333,16.7
13,"Sarah",16.7,17.75
13,"Cosima",19.03333333,20.66666667
13,"Sarah",20.66666667,22.56666667
13,"Cosima",22.56666667,25.33333333
13,"Alison",24.43333333,25.4
13,"Alison",25.76666667,26.73333333
13,"Sarah",26.73333333,30.38333333
13,"Alison",30.38333333,32.8
13,"Sarah",32.8,33.41666667
13,"Sarah",36.6,38.81666667
13,"Helena",38.81666667,40.96666667
13,"Sarah",40.96666667,41.5
14,"Sarah",0,1.833333333
14,"Sarah",1.833333333,2.866666667
14,"Helena",3.366666667,4.483333333
14,"Alison",4.483333333,6.633333333
14,"Sarah",6.633333333,8.183333333
14,"Sarah",9.283333333,10.5
14,"Helena",10.86666667,14.58333333
14,"Cosima",15.5,16.18333333
14,"Sarah",15.86666667,16.18333333
14,"Cosima",16.65,18.15
14,"Sarah",16.65,18.06666667
14,"Sarah",18.33333333,18.85
14,"Alison",19.75,21.48333333
14,"Sarah",21.48333333,22.81666667
14,"Sarah",24.88333333,25.9
14,"Alison",25.9,27.7
14,"Sarah",27.7,28.91666667
14,"Sarah",30.13333333,30.93333333
14,"Sarah",31.2,31.55
14,"Sarah",31.55,35.4
14,"Cosima",32.11666667,34.03333333
14,"Sarah",35.95,40.3
14,"Helena",38.46666667,40.3
15,"Rachel",0,1.966666667
15,"Helena",1.966666667,3.6
15,"Sarah",1.966666667,3.6
15,"Rachel",4.283333333,5.3
15,"Cosima",5.3,6.883333333
15,"Sarah",6.883333333,8.15
15,"Helena",8.15,9.433333333
15,"Rachel",10.3,12.48333333
15,"Helena",12.48333333,13.95
15,"Helena",15.45,16.66666667
15,"Sarah",18.48333333,18.63333333
15,"Sarah",20.11666667,21.6
15,"Helena",21.2,21.88333333
15,"Cosima",22.65,25.05
15,"Sarah",26.85,30.53333333
15,"Rachel",30.53333333,30.88333333
15,"Helena",30.88333333,31.56666667
15,"Rachel",31.56666667,31.75
15,"Helena",31.75,31.88333333
15,"Rachel",31.88333333,32.18333333
15,"Sarah",32.18333333,32.31666667
15,"Helena",32.31666667,32.6
15,"Rachel",32.36666667,33.25
15,"Helena",33.25,33.45
15,"Sarah",33.45,33.78333333
15,"Rachel",33.78333333,35.06666667
15,"Helena",34.01666667,37.78333333
15,"Sarah",34.78333333,37.78333333
15,"Rachel",35.71666667,35.91666667
15,"Cosima",37.78333333,39.06666667
15,"Sarah",39.16666667,40.35
15,"Sarah",40.81666667,41.18333333
15,"Helena",40.81666667,41.18333333
16,"Sarah",0,2.55
16,"Helena",0.116666667,2.55
16,"Sarah",3.083333333,4.483333333
16,"Helena",3.083333333,4.483333333
16,"Cosima",4.483333333,6.55
16,"Alison",6.55,8
16,"Alison",9.116666667,9.983333333
16,"Helena",9.983333333,10.71666667
16,"Sarah",9.983333333,12.01666667
16,"Helena",12.01666667,12.38333333
16,"Cosima",12.38333333,12.95
16,"Helena",12.95,14.65
16,"Sarah",14.76666667,15.35
16,"Alison",15.35,16.26666667
16,"Sarah",16.26666667,16.73333333
16,"Alison",17.53333333,19.03333333
16,"Helena",19.03333333,20.1
16,"Sarah",20.58333333,22.05
16,"Cosima",20.58333333,22.05
16,"Helena",22.05,25.03333333
16,"Sarah",25.03333333,25.48333333
16,"Helena",25.48333333,28.53333333
16,"Sarah",25.75,26.03333333
16,"Sarah",28.53333333,29.33333333
16,"Alison",30.25,31.08333333
16,"Sarah",30.95,36.2
16,"Sarah",36.48333333,36.85
16,"Sarah",38.65,40.96666667
17,"Alison",0,1.966666667
17,"Sarah",1.966666667,3.033333333
17,"Alison",3.033333333,3.683333333
17,"Sarah",4.55,6.15
17,"Cosima",6.15,7.6
17,"Alison",7.833333333,8.366666667
17,"Sarah",8.366666667,9.483333333
17,"Sarah",11.48333333,11.95
17,"Cosima",11.95,13.3
17,"Alison",13.3,14.56666667
17,"Sarah",16.33333333,18.23333333
17,"Alison",17.8,18.15
17,"Alison",18.36666667,18.53333333
17,"Sarah",18.55,20.41666667
17,"Alison",20.41666667,21
17,"Sarah",21,22.28333333
17,"Sarah",23.61666667,24.48333333
17,"Sarah",24.48333333,25.08333333
17,"Alison",25.03333333,25.46666667
17,"Sarah",25.93333333,27.13333333
17,"Alison",26.96666667,27.56666667
17,"Sarah",27.56666667,29.03333333
17,"Alison",27.98333333,28.4
17,"Alison",29.03333333,29.3
17,"Sarah",29.96666667,30.8
17,"Alison",30,30.8
17,"Rachel",31.26666667,33.01666667
17,"Alison",33.01666667,33.8
17,"Sarah",33.01666667,33.63333333
17,"Rachel",34.01666667,36.55
17,"Sarah",36.9,38.95
17,"Cosima",37.13333333,37.45
18,"Tony",0,1.516666667
18,"Sarah",1.666666667,2.633333333
18,"Cosima",2.8,4
18,"Alison",4,5.5
18,"Tony",5.666666667,6.233333333
18,"Sarah",6.233333333,7.2
18,"Rachel",7.35,8.65
18,"Tony",8.85,9.85
18,"Tony",10.53333333,11.58333333
18,"Sarah",11.58333333,13.38333333
18,"Cosima",13.38333333,16.71666667
18,"Tony",16.71666667,18.28333333
18,"Alison",18.28333333,19.66666667
18,"Sarah",19.66666667,20.05
